3,9,99
CÔNG TY TNHH DOANH PHÚ,"481/23/6 Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp.HCM","{'locality': '', 'sublocality_level_1': '', 'route': 'Tân Kỳ Tân Quý', 'administrative_area_level_2': 'Tân Phú', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8034966, 'lng': 106.6327928}}"
CÔNG TY TNHH KHÁCH SẠN GRAND IMPERIAL SAIGON,"Số 101, đường Hai Bà Trưng, Quận 1, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Bến Nghé', 'route': 'Hai Bà Trưng', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7806865, 'lng': 106.7004588}}"
CÔNG TY CP DỆT MAY ĐÔNG Á,"số 185 - 189 Âu Cơ, Q.11, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 14', 'route': 'Âu Cơ', 'administrative_area_level_2': 'Quận 11', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7972085, 'lng': 106.6378746}}"
CÔNG TY TNHH SX & TM VĨ NAM VIỆT,"397 An Dương Vương, P.10, Q.6, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 13', 'route': 'An Dương Vương', 'administrative_area_level_2': 'Bình Tân', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7526022, 'lng': 106.6241746}}"
CÔNG TY TNHH TM DV DIỆU LINH HOÀNG,"số 13/33 KP Bình Hòa, P. Lái Thiêu, H. Thuận An, Bình Dương","{'locality': 'Thuận An', 'sublocality_level_1': 'Lái Thiê', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Bình Dương', 'country': 'Vietnam', 'location': {'lat': 10.8964619, 'lng': 106.70439}}"
CÔNG TY TNHH THỜI TRANG SANTO NERO,"23 Lý Tự Trọng, Q.1, Tp.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Bến Nghé', 'route': 'Lý Tự Trọng', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.780424, 'lng': 106.703551}}"
CÔNG TY DRAGON LINE VIỆT NAM,"268 Phan Văn Hớn, P. Tân Thới Nhất, Q.12","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Tân Thới Nhất', 'route': 'Phan Văn Hớn', 'administrative_area_level_2': 'Quận 12', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8317687, 'lng': 106.6110447}}"
CÔNG TY TNHH ĐĂNG SƠN,"564/62/3 Phạm Văn Chiêu, P.16, Q. Gò Vấp","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 9', 'route': 'Phạm Văn Chiê', 'administrative_area_level_2': 'Gò Vấp', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.846665, 'lng': 106.651449}}"
CÔNG TY CP ÁNH BAN MAI,"Bb 18 Trường Sơn, Phường 15, Quận 10, Thành Phố Hồ Chí Minh ","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 2', 'route': 'Trường Sơn', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.808156, 'lng': 106.664944}}"
CÔNG TY TNHH TMDV & SX LÂM HIỆP HƯNG,"60/5 Khánh Hòa, Tân Phước Khánh, Tân Uyên, Bình Dương","{'locality': '', 'sublocality_level_1': 'Tân Phước Khánh', 'route': '', 'administrative_area_level_2': 'Tân Uyên', 'administrative_area_level_1': 'Bình Dương', 'country': 'Vietnam', 'location': {'lat': 11.0027074, 'lng': 106.7323097}}"
CÔNG TY TNHH SẢN XUẤT HÀNG TIÊU DÙNG BÌNH TIÊN (BITI'S),"22 Lý Chiêu Hoàng, Phường 10, Quận 6, Thành phố Hồ Chí Minh","{'locality': '', 'sublocality_level_1': 'phường 10', 'route': 'Lý Chiêu Hoàng', 'administrative_area_level_2': 'Quận 6', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7371279, 'lng': 106.630751}}"
CÔNG TY TNHH NÚI SÔNG,"16 Quách Văn Tuấn, P.12, Q. Tân Bình. Tp.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 12', 'route': 'Quách Văn Tuấn', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8002424, 'lng': 106.6525359}}"
CÔNG TY CỔ PHẦN CÀ PHÊ PETEC,"194 Nam Kỳ Khởi Nghĩa, Q.3, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 6', 'route': 'Nam Kỳ Khởi Nghĩa', 'administrative_area_level_2': 'Quận 3', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.782637, 'lng': 106.692175}}"
